ID,Description,Entry_ID,Comparison_Meaning,Concepticon_ID,Media_IDs,Scientific_Name,Semantic_Domain,alt_translation1
SN000726,hurt,LX000707,,,,,,douleur
SN000727,darken,LX000708,,,,,,s’obscurcir
SN000728,praying mantis,LX000709,,,,,entomological,mantis; mante religieuse
SN000729,fresh leaves,LX000710,,,,,,feuilles vertes; feuilles fraîches
SN000730,green,LX000711,GREEN [1425],1425,,,,vert
SN000731,small,LX000712,SMALL [1246],1246,,,,petit
SN000732,monkey-bread tree,LX000713,,,,Adansonia digitata,botanical,baobab africain
SN000733,young girls,LX000714,,,,,,jeune filles
SN000734,wet things,LX000715,,,,,,mouiller (des choses)
SN000735,fear,LX000716,,,,,,peur
SN000736,receive,ldgh-,GET [694],694,,,,recevoir
SN000737,take; receive,LX000717,HOLD OR TAKE [2104],,,,,recevoir
SN000738,leave,LX000718,LEAVE [1752],1752,,,,abandonner; laisser
SN000739,fight,LX000719,FIGHT [1423],1423,,,,lutter
SN000740,fight; forbid,LX000720,FIGHT [1423],1423,,,,combattre; se battre; interdire
SN000741,new,LX000721,NEW [1231],1231,,,,nouveau
SN000742,wood hammer used to flatten straw or get tissues out of plants,LX000722,,,,,,maillet de bois qui sert à aplatir la paille pour extraire les fibres de plantes
SN000743,take,lgh-,TAKE [1749],1749,,,,prendre
SN000744,locust bean tree,LX000723,,,,Parkia biglobosa Mimosaceae,botanical,espèce d'arbre (aussi appelé 'néré')
SN000745,bow,LX000724,BOW [994],994,,,,arc
SN000746,cloth,LX000725,CLOTH [1616],1616,,,,habit; vêtement
SN000747,hospital,LX000726,HOSPITAL [616],616,,,,hôpital
SN000748,baboon,LX000727,BABOON [1197],1197,,,zoological,babouin
SN000749,forbid,lm-,FORBID [83],83,,,,interdire
SN000750,quarrel; fight; war,LX000728,QUARREL [1848],1848,,,,dispute; bagarre; lutte; guerre
SN000751,pliers,LX000729,,,,,,pinces; tenailles
SN000752,village of dzidzi’w,LX000730,,,,,,village de dzidzi’w
SN000753,"village of jìjí’w, a part of Tourou",LX000731,,,,,,village de Jìjì’w
SN000754,go,LX000732,GO [695],695,,,,aller
SN000755,[collective marker],LX000733,,,,,,
SN000756,"mix (things, people)",LX000734,MIX [2017],2017,,,,"mélanger (choses, personnes)"
SN000757,go out,LX000735,GO OUT [1107],,,,,sortir
SN000758,"a variety of millet, not eaten",LX000736,,,,,botanical,un variété de mil non comestible
SN000759,climb,LX000737,CLIMB [1102],1102,,,,monter; grimper
SN000760,leave,LX000738,LEAVE [1752],1752,,,,partir; sortir
SN000761,dig out a part of something,LX000739,,,,,,déterrer une partie de quelque chose
SN000762,leave; to go out,LX000740,LEAVE [1752],1752,,,,partir; sortir
SN000763,"small calabash for drinking (water, home made beer)",LX000741,,,,,,"petite calebasse pour boire (eau, bière)"
SN000764,dig and go up,LX000742,,,,,,déterrer et monter
SN000765,dig and bring,LX000743,,,,,,déterrer et apporter
SN000766,man’s dance ceremonial dress,LX000744,,,9578791c6737ddf180c4d2606680660c,,,habit masculin pour la danse ou pour une cérémonie
SN000767,valley; river; ravine,LX000745,RIVER [666] ; VALLEY [921],,1b767af31701b04d1c632007803af3e2,,,vallée; rivière; ravin
SN000768,school,LX000746,SCHOOL [673],673,,,,école
SN000769,aloe vera,LX000747,,,8da65da4f2cea0cd2717a2d3132f262a,,botanical,l'aloès
SN000770,put in soil,LX000748,,,,,,enterrer
SN000771,come in,LX000749,,,,,,entrer
SN000772,lemon tree or fruit,LX000750,,,,,,citronnier; citron
SN000773,market,LX000751,MARKET [633],633,,,,marché
SN000774,fight,LX000752,,,,,,combat; bagarre
SN000775,Market at Berek (a part of Tourou),LX000753,,,,,,marché de Berek (quartier de Tourou)
SN000776,beer market,LX000754,,,,,,marché à la bière
SN000777,turn the soil,LX000755,,,,,,piocher; tourner la terre
SN000778,kitchen space,LX000756,,,afbae026a1adab40ad7a9bba8f5909d6,,,cuisine (lieu où l’on prépare les repas)
SN000779,be able,LX000757,BE ABLE [972],,,,,pouvoir; être capable
SN000780,be able,LX000758,BE ABLE [972],,,,,pouvoir
SN000781,sky; the heavens,LX000759,,,,,,ciel; cieux
SN000782,world,LX000759,HEAVEN [1565] ; WORLD [965],,,,,monde
SN000783,village,LX000760,VILLAGE [930],930,,,,village
SN000784,song,LX000761,SONG [1096],1096,,,,chanson
SN000785,"collective of gods (three types of gods) see 'zgláftà': a god, a small pot put on the roof of the house; there is just one god per household; see 'skwázwà?': god of children, symbolized by very small pots made from leather there are as many pots as there are children, the relative position of these gods, one above the house and the other below, is symbolic, the name of the third type of god has yet to be discovered",LX000762,GOD [1944],1944,,,,"ensemble des divinités (il y a trois sortes de divinités); voir: 'zgláftà':Divinité, petite poterie disposée au faîte du toit de la maison; il n’y a qu’une seule divinité par foyer; voir'skwázwà?': ‘Divinité des enfants, symbolisée par de tout petits pots faits en cuir, il y en a autant que d’enfants, la position relative de ces divinités (par exemple l’une sur la maison et l’autre dessous) est symbolique, le nom de la troisième divinité reste à découvrir"
SN000786,people,LX000763,PEOPLE [789],789,,,,gens
SN000787,[unspecified human subject pronoun/people],LX000764,,,,,,
SN000788,change; count; renew; replace; turn around,LX000765,CHANGE [1264],1264,,,,changer; compter; renouveler; remplacer; faire volte-face
SN000789,metamorphose,LX000766,,,,,,métamorphose
SN000790,red or white sorgho,LX000767,SORGHUM [347],347,,,botanical,sorgho rouge ou blanc
SN000791,generic name for all types of mice,LX000768,MOUSE [1491],1491,,,,"nom générique de tous les rongeurs (rats, souris)"
SN000792,a variety of mice,LX000769,,,,,zoological,variété de souris
SN000793,corpse,LX000770,CORPSE [767],767,,,,cadavre; mort
SN000794,tamarind,LX000771,,,,,botanical,tamarinier
SN000795,women ornament; necklace has small red beads,LX000772,,,,,,parure de femme; petites barrettes de perles rouges
SN000796,force,LX000773,,,,,,force
SN000797,wrap around; cover,LX000774,COVER [761],761,,,,emballer; couvrir; enroule!; couvre!
SN000798,instrument used against or in avoidance of sorcery,LX000775,,,,,,instrument utilize soit pour envoutement ou contre les pratique de sorcelerie
SN000799,a kind of shrub,LX000776,,,,Piliostigma reticulatum,botanical,arbuste
SN000800,flow,LX000777,FLOW [2003],2003,,,,couler
SN000801,flow of liquid,LX000778,,,,,,coulée de liquide; écoulement
SN000802,recover; cure; treat,LX000779,RECOVER [1978],1978,,,,guérir; traiter
SN000803,owl,LX000780,OWL [735],735,,,,hibou
SN000804,stick for making holes in the ground for sowing,LX000781,,,,,,plantoir
SN000805,then,LX000782,,,,,,puis
SN000806,walk,LX000783,,,,,,la marche
SN000807,walk!,LX000784,,,,,,marche!; cours!
SN000808,cover; plug,LX000785,,,,,,couvercle; bouchon
SN000809,amulet,LX000786,,,,,,amulette
SN000810,big,LX000787,BIG [1202],1202,,,,gros
SN000811,"hay that is used as fodder for animals, not the one with which one makes a roof",LX000788,,,,,,"paille que l’on utilise comme fourrage pour les animaux, différente de celle qu’on utilise pour couvrir la toiture"
SN000812,male name: given to a child born after the death of another child or just if there were many deaths in the family,LX000789,,,,,,nom donné à un enfant né après le décès d’un autre ou s’il y a eu de nombreux décès dans la famille rester
SN000813,remain,LX000790,REMAIN [987],987,,,,rester
SN000814,unidentified plant,LX000791,,,,,botanical,plante non identifiée
SN000815,wash,LX000792,WASH [1453],1453,,,,se laver
SN000816,wash,LX000793,,,,,,lavage
SN000817,bean dish,LX000794,,,,,,plat de haricots
SN000818,an unidentified plant whose fruits are smashed into powder,LX000795,,,,,botanical,plante non identifiée don’t on réduit les fruits en poudre
SN000819,eat without the sauce; any eating implies eating of the mush,LX000796,,,,,,manger la boule sans sauce (tout repas implique qu’on mange de la ‘boule’)
SN000820,"unidentified plant whose leaves, grilled and powdered, are used to make tea",LX000797,,,,,botanical,"plante non identifiée dont les feuilles, grillées et réduites en poudre, sont utilisées pour faire une sorte de thé"
SN000821,chief,LX000798,CHIEFTAIN [301],301,,,,chef
SN000822,queen termites,LX000799,,,,,entomological,reine de termites
SN000823,town in Nigeria,mitsika,,,,,,ville du nigeria
SN000824,couch grass,LX000800,,,9711d66296de2b060265351b0d6e86cd,Elymus repens,botanical,chien dent
SN000825,anus; bottom; buttocks; roots,LX000801,ANUS [1935] ; ROOT [670] ; BOTTOM [690],,,,,anus; fesses; cul; fond; racines
SN000826,genre; quality,LX000802,,,,,,genre; qualité
SN000827,squeeze; wring; twist,LX000803,SQUEEZE [1414],1414,,,,tordre; torsader; serrer
SN000828,man; person,LX000804,MALE PERSON [2106] ; PERSON [683],,,,,homme; personne humaine
SN000829,a kind of tree,LX000805,,,,ficus dicronostyla,botanical,espèce d'arbre
SN000830,but; [complementizer],LX000806,,,,,,mais; en principe
SN000831,press; squeeze,LX000807,PRESS [1913],1913,,,,presser; tordre en serrant; étrangler
SN000832,say; tell,LX000808,SAY [1458],1458,,,,dire; raconter
SN000833,liver,LX000809,LIVER [1224],1224,,,,foie
SN000834,have said,LX000810,,,,,,avoir dit
SN000835,he told him,LX000811,,,,,,il lui a dit
SN000836,he told him again,LX000812,,,,,,il lui a dit encore une fois
SN000837,"serves to form numerals indicating multiplications of ten, e.g. 'fwát msàk': forty",LX000813,,,,,,"Formatif qui sert à former les numéraux multiples de ‘dix’, par exemple 'fwát msàk': quarante"
SN000838,die; turn off; dim,LX000814,DIE OR BE DEAD [2101],,,,,mourir; éteindre
SN000839,dead,LX000815,,,,,,mort
SN000840,death,LX000815,DEAD [1625] ; DEATH [910],,,,,mort
SN000841,bush; field,LX000816,BUSH [1683],1683,,,,brousse; champ
SN000842,object that kills; death,LX000817,DEATH [910],910,,,,mort
SN000843,be dead; turned off,LX000818,DIE OR BE DEAD [2101],,,,,être mort; être éteint
SN000844,caterpillar,LX000819,CATERPILLAR [2247],2247,,,,chenille
SN000845,mother,LX000820,MOTHER [1216],1216,,,,maman
SN000846,in; to; from; among; within,LX000821,IN [1460],1460,,,,dans; de; parmi
SN000847,prefix forming ordinal numbers,LX000822,,,,,,préfixe qui forme les nombres ordinaux
SN000848,wives,LX000823,,,,,,femmes
SN000849,in,LX000824,IN [1460],1460,,,,dedans
SN000850,[prohibitive marker],LX000825,,,,,,
SN000851,there is,LX000826,THERE IS OR THERE ARE [2152],,,,,il y a
SN000852,like,LX000827,,,,,,comme
SN000853,remainder,LX000828,,,,,,reste
SN000854,proverb; saying,LX000829,,,,,,proverbe; adage; dicton
SN000855,the interior of the belly,LX000830,,,,,,l’intérieur de ventre; les viscères
SN000856,grass,LX000831,GRASS [606],606,,,botanical,plante; herb
SN000857,grass,LX000832,,,,Portulacca oleracea,botanical,herbe
SN000858,herbustive plant,LX000833,,,,,,plante herbustive
SN000859,wild cat,LX000834,WILD CAT [2241],,,,zoological,chat sauvage
SN000860,"a kind of insect, edible, nice smelling",LX000835,,,,,,"insect, comestible à l’odeur agréable"
SN000861,antelope,LX000836,,,,,,antilope
SN000862,mother in law,LX000837,MOTHER-IN-LAW [1050],,,,,belle mère
SN000863,unidentified thorny grass growing along the edge of water,LX000838,,,,,,plante épineuse non identifiée qui pousse au bord de l’eau
SN000864,possessive form for mother-in-law,LX000839,,,,,,forme possessive pour belle-mère
SN000865,origin,LX000840,,,,,,genèse; origine
SN000866,inside,LX000841,INSIDE [1606],1606,,,,dedans; à l’intérieur
SN000867,eyeglasses,LX000842,GLASSES [2292],2292,,,,lunettes
SN000868,tsetse fly,LX000843,,,,,,"mouche tsétsé, voir 'hlùhlúrì'"
SN000869,shrew,LX000844,,,,,zoological,musaraigne
SN000870,a wild feline animal,LX000845,,,,,zoological,félin sauvage
SN000871,hunter,LX000846,HUNTER [1053],1053,,,,chasseur
SN000872,male name: in the time of beer,LX000847,,,,,,nom utilisé pour les hommes: à la période de la bière
SN000873,big stone that represents the anvil,LX000848,,,,,,grosse pierre qui represente l’enclume
SN000874,"a kind of plant, old people plant it in front of their homes",LX000849,,,,Aloe buettneri,,"plante, des vieux la plantent devant leurs maisons"
SN000875,do,LX000850,DO [813],813,,,,faire
SN000876,dream,LX000851,DREAM (SOMETHING) [1920],,,,,rêver
SN000877,travel,LX000852,,,,,,voyager
SN000878,tuberculosis,LX000853,,,,,,tuberculose
SN000879,big hard stone that serves as anvil in the smithy,LX000854,,,,,,grosse pierre dure qui sert d’enclume
SN000880,a type of large mouse,LX000855,,,,,,variété de grosse souris
SN000881,witness; intermediary,LX000856,WITNESS [1144],1144,,,,témoin; intermédiaire
SN000882,a variety of small criquets,LX000857,,,,,entomological,criquet puant
SN000883,wall; closing,LX000858,WALL (OF HOUSE) [933],,,,,muret; clôture
SN000884,error,LX000859,MISTAKE [1293],1293,,,,erreur
SN000885,yawn,LX000860,YAWN [1028],1028,,,,bailler
SN000886,wall,LX000861,WALL (OF HOUSE) [933],,,,,mur
SN000887,[male name],LX000862,,,,,,
SN000888,mother-in-law,LX000863,MOTHER-IN-LAW [1050],,,,,belle-mère
SN000889,beings characterized as extraterrestrial; reputed to have nasty disposition,LX000864,,,,,,entités extra-terrestres réputées avoir tendance à faire le mal
SN000890,a type of green cricket,LX000865,,,,,,variete de criquet vert
SN000891,girl,LX000866,GIRL [1646],1646,,,,fille
SN000892,sesame,LX000867,,,,,botanical,sésame
SN000893,green bush cricket,LX000868,,,,,entomological,criquet vert
SN000894,frontier,LX000869,BORDER [2546],2546,,,,frontière
SN000895,school,LX000870,SCHOOL [673],673,,,,école
SN000896,six,LX000871,SIX [1703],1703,,,,six
SN000897,better,LX000872,GOOD [1035],1035,,,,mieux
SN000898,surpass,LX000873,SURPASS [402],402,,,,surpasser; dépasser
SN000899,elder child,LX000874,,,,,,aîné
SN000900,fat,LX000875,FAT (FROM ANIMALS) [1282],,,,,gras
SN000901,tendon,LX000876,TENDON [1137],1137,,,,tendon
SN000902,be bigger than,LX000877,,,,,,etre plus grand que
SN000903,surprise,LX000878,,,,,,surprise
SN000904,surprise,LX000879,,,,,,surprise
SN000905,extraordinary; strange,LX000880,FOREIGN [109],109,,,,extraordinaire; étrange
SN000906,like,LX000881,,,,,,comme
SN000907,unidentified plant; climbing plant often covers other bushes,LX000882,,,,,botanical,plante non identifiée; plante grimpante qui couvre souvent d’autres arbustes buissonnants
SN000908,instead of,LX000883,INSTEAD [1652],1652,,,,au lieu de
SN000909,knife,LX000884,KNIFE [1352],1352,,,,couteau
SN000910,compound; home,LX000885,COMPOUND [483],483,,,,concession; chez soi; domicile
SN000911,then; like that,LX000886,,,,,,puis; ainsi
SN000912,[complementizer],LX000887,,,,,,
SN000913,unidentified variety of grass,LX000888,,,,,,herbe non identifiée
SN000914,"an edible insect, has to be fried for eating",LX000889,,,,Cetoniinae,entomological,"insecte comestible, se mange frit"
SN000915,mislead; lie; deny,LX000890,LIE (MISLEAD) [601],,,,,mentir; nier; induire en erreur
SN000916,lie!,LX000891,LIE (MISLEAD) [601],,,,,mente!
SN000917,gabon viper,LX000892,,,,,zoological,vipère
SN000918,smallpox,LX000893,SMALLPOX [1054],1054,,,,variole
SN000919,bitter eggplant,LX000894,,,,,,aubergine amère
SN000920,show,LX000895,SHOW [1039],1039,,,,montrer
SN000921,woman,LX000896,WOMAN [962],962,,,,femme
SN000922,woman making carrot beignets,LX000897,,,,,,femme en train de preparer les beigneits haricots
SN000923,accross the rear,LX000898,,,,,,autour de la hanche
SN000924,under; literally: around the hips,LX000899,BELOW OR UNDER [1485],,,,,sous; littéralement: autour des hanches
SN000925,devotion,LX000900,,,,,,dévouement; engagement
SN000926,under,LX000901,BELOW OR UNDER [1485],,,,,sous
SN000927,apply oil; rub,LX000902,RUB [1449],1449,,,,oindre; appliquer (un produit huileux); frotter
SN000928,nose cold,LX000903,COMMON COLD (DISEASE) [102],,,,,rhume
SN000929,put ointment,LX000904,,,,,,"mettre un onguent, une pommade"
SN000930,he applied ointment to himself,LX000905,,,,,,il s’est passé lui-même un onguent
SN000931,fast,LX000906,FAST [1631],1631,,,,vite
SN000932,he wiped out,LX000907,,,,,,il a essuyé
SN000933,incident; event,LX000908,,,,,,événement; incident
SN000934,red barrette worn by women for fastening to the head,LX000909,,,,,,barrette rouge portée par les femmes pour attacher la tete
SN000935,get; obtain,LX000910,GET [694],694,,,,obtenir
SN000936,a variety of termites,LX000911,,,,,entomological,variété de petits termites
SN000937,"faul smelling (in Hdi perception) sauce made from blood, stomach juice of various animals, peanut paste, fat or crushed bones of animals, both rotten. All of that is kept in a pot for a month or so. A seldom used condiment.",LX000912,,,,,,"odeur nauséabonde (selon la perception hdi), sauce faite à base de sang, de jus de panse de divers animaux, de pâte d’arachide, de graisse ou d’os pourris d’animaux, pilés. Le tout est laissé à pourrir pendant environ un mois dans une poterie. Condiment rarement utilisé"
SN000938,sorcerer,LX000913,MAGICIAN [2137],2137,,,,sorcier
SN000939,Mátákám (ethnicity and language),LX000914,,,,,,Mafa (peuple et langue)
SN000940,African rock python,LX000915,,,,,zoological,python de Seba
SN000941,unidentified tree,LX000916,,,,,botanical,arbre non identifié
SN000942,grass; used as fodder for all kinds of animals,LX000917,,,,,botanical,plante herbacée; utilisée comme fourrage pour tous les animaux
SN000943,herbustive plant,LX000918,,,,,,plante herbustive
SN000944,black mamba,LX000919,,,,,zoological,mamba noir
SN000945,a custom of giving domestic animals to somebody else for raising,LX000920,,,,,,coutume qui consiste à confier des animaux domestiques à quelqu'un pour qu’il les élève
SN000946,morning; tomorrow,LX000921,MORNING [1339],1339,,,,matin; demain
SN000947,four-toed hedgehog,LX000922,,,,,,hérisson (Atelerix albiventris)
SN000948,male name: into the ground,LX000923,,,,,,dans la terre
SN000949,wall,LX000924,WALL (OF HOUSE) [933],,,,,mur
SN000950,a kind of parasitic plant,LX000925,,,,Englerina lecardii,botanical,plante parasite
SN000951,hunger,LX000926,HUNGER [1864],1864,,,,faim
SN000952,a variety of long criquet,LX000927,,,,,entomological,criquet de grande taille
SN000953,"a variety of small black snake, about 50 cm long",LX000928,,,,Typhlops,zoological,petit serpent noir d’une cinquante cm de long
SN000954,exist,LX000929,,,,,,exister
SN000955,at home,LX000930,HOME [2406],2406,,,,chez soi
SN000956,wives of a single man,LX000931,,,d6f0736f0ce250b5ce2a33faca2bb4ec,,,coépouses d’un homme
SN000957,entrepreneurial women,LX000932,,,,,,femmes entreprenantes
SN000958,ask forgiveness (original meaning); pray; applaud; beg; literally: beat hand,LX000933,PRAY [24],24,,,,applaudir; mendier; supplier
SN000959,seven,LX000934,SEVEN [1704],1704,,,,sept
SN000960,finger tip; aim; target,LX000935,,,,,,bout du doigt; but; cible
SN000961,seven,LX000936,SEVEN [1704],1704,,,,sept
SN000962,fill,LX000937,FILL [2006],2006,,,,se remplir
SN000963,filling,LX000938,,,,,,remplissage
SN000964,he filled for,LX000939,,,,,,il a rempli pour quelqu'un
SN000965,be heavy,LX000940,HEAVY [1210],1210,,,,être lourd
SN000966,weight; block,LX000941,WEIGHT [2466],2466,,,,poid; masse
SN000967,drive; roll; fly away,LX000942,,,,,,rouler; filler; s’envoler
SN000968,plait,LX000942,PLAIT OR BRAID OR WEAVE [1729] ; DRIVE [741],,,,,tresser
SN000969,"flight (birds, airplane)",LX000943,,,,,,"vol (d’oiseau, d’avion)"
SN000970,female name: 'pursue the beer' possibly the girl was born when there was beer at home,LX000944,,,,,,"nom de femme: 'poursuis la bière', peut-être parce qu’il y avait de la bière à la maison quand elle est née"
SN000971,he drove away,LX000945,,,,,,il est parti en voiture
SN000972,seven,LX000946,SEVEN [1704],1704,,,,sept
SN000973,past time,LX000947,,,,,,temps passé
SN000974,spend the time; remain,LX000948,REMAIN [987],987,,,,passer du temps; séjourner; rester
SN000975,tie; connect,LX000949,TIE [1917],1917,,,,attacher; relier; coller
SN000976,settle,LX000950,,,,,,s’établier; exister
SN000977,fall,LX000951,,,,,,chute
SN000978,joints,LX000952,JOINT [999],999,,,,articulation
SN000979,rest; existence; life,LX000953,,,,,,existance; repos; vie
SN000980,papaya,LX000954,PAPAYA [2445],2445,,,botanical,papaye
SN000981,loan,LX000955,,,,,,prêt; crédit; emprunt
SN000982,variety of ficus,LX000956,,,,Ficus ingens,botanical,ficus
SN000983,swallow,LX000957,SWALLOW [897],897,,,,avaler
SN000984,[associative]; with; through; about (with time indications),LX000958,WITH [1340] ; THROUGH [97],,,,,[associatif]; avec; par; à travers; au sujet de
SN000985,toward,LX000959,,,,,,vers
SN000986,"a kind of fruit tree, its grains are used to make sauce",LX000960,,,,Lannea velutaina,botanical,"espèce d'arbre fruitier, ses graines sont utilisées pour faire une sauce"
SN000987,which way,LX000961,,,,,,par oú
SN000988,filth,LX000962,DIRT [25],25,,,,ordures
SN000989,house outside the compound,LX000963,,,,,,case située hors de la concession servant à stocker le mil en panicules ou du fourrage pendant la saison sèche
SN000990,immediately,LX000964,IMMEDIATELY [1963],1963,,,,immediatement
SN000991,think; reflect,LX000965,THINK (REFLECT) [1415],,,,,penser; reflechir
SN000992,thought,LX000966,,,,,,pensée
SN000993,now,LX000967,NOW [1376],1376,,,,maintenant
SN000994,he thought,LX000968,,,,,,il a pensé
SN000995,alive,LX000969,BE ALIVE [1422],,,,,vivant
SN000996,predaceous diving beetles,LX000970,,,,Dytiscidae,entomological,insecte aquatique
SN000997,suddenly,LX000971,,,,,,soudain
SN000998,close; near,LX000972,NEAR [1942],1942,,,,proche; à proximité
SN000999,be close; approach,LX000973,,,,,,être proche; s'approcher
SN001000,close,LX000974,,,,,,proche
SN001001,"a type of small, black lizard found in the crevaces of rocks in the mountains",LX000975,,,,,zoological,petit lézard noir que l’on trouve dans les fissures des rochers dans les montagnes
SN001002,fruit tree,LX000976,,,,,botanical,arbre fruitier
SN001003,what,LX000977,WHAT [1236],1236,,,,que; quoi
SN001004,unidentified plant,LX000978,,,,,botanical,plante non-identifié
SN001005,look,LX000979,,,,,,regard
SN001006,the look,LX000980,,,,,,le regard
SN001007,he looked,LX000981,,,,,,il regardait
SN001008,visible,LX000982,VISIBLE [1868],1868,,,,visible
SN001009,weaver ants,LX000983,,,,Oecophylla,entomological,fourmi tisserande
SN001010,climb,LX000984,CLIMB [1102],1102,,,,"monter, grimper"
SN001011,climbing,LX000985,,,,,,"montée, fait de monter"
SN001012,black,LX000986,BLACK [163],163,,,,noir
SN001013,"little, few",LX000987,,,,,,peu
SN001014,large earth worm,LX000988,,,,,entomological,gros ver de terre de couleur blanche
SN001015,large-leaved rock fig,LX000989,,,,Ficus abutilifolia,botanical,espèce d'arbre
SN001016,praying mantis,LX000990,,,,,entomological,mante religieuse
SN001017,necklace,LX000991,NECKLACE [1961],1961,9e18ecdff938bdec7c3004574b0cefa9,,,collier de cauris porte au cou
SN001018,hold; close; keep,LX000992,HOLD OR TAKE [2104] ; KEEP [1477],,,,,"tenir; fermer; garder; tendre (un piège, une barrière)"
SN001019,preposition 'for',LX000993,,,,,,preposition 'pour'
SN001020,[normative modality marker],LX000993,,,,,,[marqueur de modalité normative]
SN001021,"male name: for fertiliser, one of the proper names to defend against evil eye",LX000994,,,,,,pour compost
SN001022,hippopotamus,LX000995,,,,,zoological,hippopotame
SN001023,babysitter,LX000996,,,,,,garde d’enfants
SN001024,winged adult termites,LX000997,,,,Isoptera,entomological,termites ailés (stade imago)
SN001025,mayfly nymph,LX000998,,,,,entomological,nymphe d’éphémère
SN001026,camel,LX000999,CAMEL [1871],1871,,,,dromadaire
SN001027,driver ants,LX001000,,,,,entomological,fourmis processionnaires
SN001028,end of initiation ceremony,LX001001,,,,,,manifestation marquant la fin de la cérémonie de l’initiation
SN001029,past time; old times,LX001002,,,,,,temps passé; jadis
SN001030,mouse trap,LX001003,,,ba39ad85330c4e1ef91f521fe3e7954b,,,piège à souris
SN001031,scream of distress,LX001004,,,,,,cri de détresse
SN001032,Christ’s Thorn jujube,LX001005,,,,Ziziphus spina-christi,botanical,jujubier
SN001033,neck,LX001006,NECK [1333],1333,,,,cou
SN001034,gather; get; have,LX001007,GATHER [7],7,,,,réunir; obtenir; avoir
SN001035,sign,LX001008,SIGN [1720],1720,,,,insigne; signe
SN001036,make noises that accompany an effort to expel from body,LX001009,,,,,,faire le bruit qui accompagne l’effort d’expulser quelque chose de son organisme
SN001037,a variety of caterpillar feeding on leaves of large trees,LX001010,,,,,entomological,chenille qui devore les feuilles des grands arbres
SN001038,thank you,LX001011,,,,,,merci
SN001039,concern,LX001012,,,,,,voir; concerner
SN001040,glue,LX001013,GLUE [1069],1069,,,,colle
SN001041,vigil,LX001014,,,,,,veillée
SN001042,right,LX001015,RIGHT [1019] ; RIGHT HAND [2138],,,,,(pied) droit ou (main) droite
SN001043,overwhelm,LX001016,,,,,,depasser
SN001044,[complementizer],LX001017,,,,,,
SN001045,[demonstrative],LX001018,,,,,,
SN001046,[demonstrative],LX001019,,,,,,
SN001047,overflowing,LX001020,,,,,,débordement
SN001048,[third person singular pronoun],LX001021,,,,,,
SN001049,heart,LX001022,,,,,,cœur
SN001050,anger,LX001022,HEART [1223] ; ANGER [82],,,,,colère
SN001051,search,LX001023,LOOK FOR [1468],,,,,recherche
SN001052,white,LX001024,WHITE [1335],1335,,,,blanc
SN001053,nimtree,LX001025,,,3d6c251230b6e11918f8d94bb281d23f,Azadrichta indica,botanical,margousier
SN001054,agricultural field products (not animals),LX001026,,,,,,produits agricoles (excluant les animaux)
SN001055,mislead; cheat,LX001027,BETRAY [1902],1902,,,,être induit en erreur; se tromper
SN001056,reward; gift,LX001028,,,,,,récompense; cadeau
SN001057,white man; boss,LX001029,,,,,,Blanc; Européen
SN001058,metal slug used as a source for the making of iron tools,LX001030,,,4e78f758cf75e1e7bee85af863d782ea,,,"loupe de fer à partir de laquelle on fabrique des houes, des faucilles, des fers de lances"
SN001059,firewood (unlike 'xàsú’ú' cannot be used for construction),LX001031,FIREWOOD [10],10,,,,"bois de feu (à la différence de 'xàsú’ú', ne peut s’employer pour la construction)"
SN001060,serpent (generic),LX001032,SNAKE [730],730,,,zoological,serpent (terme générique)
SN001061,why,LX001033,WHY [1270],1270,,,,pourquoi
SN001062,close a hole/window; glue,LX001034,,,,,,boucher un trou; coller
SN001063,fattening of cows in an enclosed space,LX001035,,,,,,engraissement de bœufs dans un enclos
SN001064,fatten,LX001036,,,,,,engraisser
SN001065,Nigeria,LX001037,,,,,,Nigeria
SN001066,poverty,LX001038,,,,,,pauvreté
SN001067,remain,LX001039,REMAIN [987],987,,,,rester
SN001068,pour for him,LX001040,,,,,,verser pour lui
SN001069,accompany,LX001041,ACCOMPANY [1542],1542,,,,accompagner
SN001070,libation,LX001042,,,,,,libation
SN001071,pour; put,LX001043,POUR [1487],1487,,,,verser; mettre
SN001072,accompany towards higher elevation,LX001044,,,,,,accompagner en montant
SN001073,pour in for me,LX001045,,,,,,verse m’en (dans un récipient)
SN001074,pour in,LX001046,,,,,,verser dedans
SN001075,pour on,LX001047,,,,,,verser sur
SN001076,having poured,LX001048,,,,,,avoir versé
SN001077,pour,LX001049,POUR [1487],1487,,,,verser
SN001078,pour on oneself,LX001050,,,,,,porter beaucoup (habits) sur soi; avoir bu
SN001079,hut,LX001051,HUT [1678],1678,a70a078b67f47204bd5130e48e40b4ef,,,case
SN001080,break; kill,LX001052,BREAK (CLEAVE) [2558],,,,,casser; concasser; tuer
SN001081,detach; pay; untie; disconnect; break,LX001053,,,,,,détacher; payer; délier; débrancher; briser
SN001082,sacrifice,LX001053,SACRIFICE [1103] ; PAY [718],,,,,sacrifier
SN001083,horse,LX001054,HORSE [615],615,,,,cheval
SN001084,sufficient,LX001055,,,,,,suffisant
SN001085,rummage; dig up,LX001056,,,,,,fouiller; déterrer
SN001086,peck; dig; eat,LX001057,DIG [1418],1418,,,,picorer; creuser; fouiller
SN001087,mat,LX001058,MAT [195],195,,,,matte
SN001088,funeral,LX001059,,,,,,enterrement
SN001089,leopard,LX001060,LEOPARD [1139],1139,,,zoological,panthere; léopard
